to,from
건담 시리즈,"퍼스트건담,건담베이스,뉴건담,뉴 건담,윙건담,윙 건담,기동전사 건담 시드 데스티니"
건담,"건담 브랜드 시리즈,건담 시리즈,샤아 아즈나블,자쿠,유니콘 건담,사자비,시난주,수성의 마녀,메탈로봇혼,로봇혼,톨기스,건프라"
초합금,"슈퍼로봇초합금"
반다이 피규어 시리즈,"S.H. Figuarts,FiguartsZERO,Figuarts mini,S.H.MonsterArts,S.H. Figuarts 진골조제법,초합금"
피규어,"반다이 피규어 시리즈"
전생슬,"전생했더니 슬라임이었던 건에 대하여"
선라이즈,"그랑죠"
반프레스토,"은혼"
월레스와그로밋,"웰레스와 그로밋,웰레스와그로밋,월레스와 그로밋,월레스,웰레스,그로밋,맥그로우"
숀더쉽,"숀"
어드벤쳐타임,"어드벤쳐 타임, 어드벤처 타임, 어드벤처타임,핀,비모,제이크,핀과 제이크,핀과제이크,BMO"
파워퍼프걸,"파워 퍼프걸"
니니즈,"죠르디"
곰돌이푸,"피글렛,티거,곰돌이 푸,곰돌이푸우,곰돌이 푸우,위니더푸,위니더 푸,위니 더 푸,푸우,위니 더 푸우"
미녀와야수,"미녀와 야수,벨,콕스워즈"
잠자는숲속의공주,"잠자는 숲속의공주,잠자는 숲속의 공주,오로라"
백설공주,"백설공주와일곱난장이"
이상한나라의앨리스,"앨리스,영오이스터,이상한 나라의 앨리스"
인어공주,"에리얼,플라운더"
도날드덕,"도널드덕, 도널드 덕, 도날드 덕,데이지덕"
미키마우스,"미키 마우스,미키,미키마우스와 친구들,미키마우스 패밀리,미니마우스,미니 마우스,구피,칩앤데일,미키와 친구들,플루토"
겨울왕국,"올라프,엘사,안나"
알라딘,"지니"
주토피아,"주디"
릴로와스티치,"스티치,릴로&스티치"
스타워즈,"스톰트루퍼,만달로리안"
더피와친구들,"더피와 친구들,스텔라루"
인사이드아웃,"인사이드 아웃,슬픔이"
피터팬,"팅커벨"
세서미스트리트,"세서미 스트리트,세세미스트리트,세서미,엘모,커밋,쿠키몬스터,쿠키 몬스터,쿠몬"
꼬마마법사레미,"꼬마마법사 레미,꼬마 마법사 레미,꼬마 마법사 도레미"
커비,"별의 커비"
어벤져스,"어벤저스,어벤져스 엔드게임,어벤저스 엔드게임,어벤져스 인피니티 워,어벤저스 인피니티 워,어벤져스 에이지 오브 울트론"
스파이더맨,"스파이디,스파이더맨 홈커밍,스파이더맨 파 프롬 홈,마일스 모랄레스"
마블,"마블코믹스,아이언맨,마블레전드,그루트,캡틴아메리카,블랙위도우,로키,토르,가디언즈 오브 갤럭시,데드풀,헐크,닥터스트레인지,타노스,센티넬,베놈,엑스맨,블랙팬서,앤트맨"
DC,"조커,배트맨,원더우먼,슈퍼맨,DC코믹스,저스티스리그"
원피스,"조로,에이스,상디,쵸파,나미,루피"
크리스마스 악몽,"잭 스켈링턴,제로"
칩앤데일,"칩,데일"
호빵맨,"날아라 호빵맨,날아라호빵맨,세균맨"
젤다,"링크,젤다의 전설"
미니언즈,"스튜어트,케빈,슈퍼배드,슈퍼 배드,미니언"
슈렉,"진저맨"
트롤,"파피"
동물의숲,"모여봐요동물의숲,동물의 숲,동숲,모동숲"
슈퍼마리오,"슈퍼 마리오"
리락쿠마,"코리락쿠마,키이로이토리,챠이로이코구마"
트랜스포머,"트랜스 포머,범블비"
카드캡터체리,"카드캡터 체리,카드 캡터 체리,카드캡터 사쿠라"
빤쮸토끼,"오판츄우사기,음뽀챠무"
마법소녀,"달빛천사,베리베리뮤우뮤우,캐릭캐릭 체인지"
스폰지밥,"스폰지 밥,네모바지 스폰지밥,뚱이,스펀지밥,스펀지송,네모네모 스펀지송,네모네모 스폰지밥"
닌자 거북이,"닌자거북이,TMNT"
뽀로로,"뽀롱뽀롱 뽀로로,잔망루피"
드래곤볼,"손오공,드래곤볼Z,베지터,손오반,드래곤볼 GT"
햄토리,"방가방가햄토리,방가방가 햄토리"
짱구는못말려,"짱구는 못말려,짱구는 못 말려,짱구,신짱,맹짱,신노스케,흰둥이,초코비,쵸코비,크레용신짱,크레용 신짱,떡잎마을방법대,떡잎방법대,떡잎 방법대,떡잎 유치원,형만,미선,짱아,액션가면,부리부리"
마징가,"마징가Z,그레이트 마징가"
슈퍼로봇,"가오가이가"
에반게리온,"에반 게리온,신세기 에반게리온,에반게리온 초호기"
미니피규어,"레고미니피규어,레고더무비"
해리포터,"해리,덤블도어,해그리드,호그와트,헤르미온느,론,도비,말포이"
케로로,"캐로로,개구리 중사 케로로"
모루카,"뿌이뿌이 모루카"
리제로,"Re:제로부터 시작하는 이세계 생활,렘,람"
냐한남자,"올소,춘배"
실바니안패밀리,"실바니안 패밀리,실바니안"
페코,"페코짱"
볼트론,"고라이온,골라이온"
주먹왕랄프,"주먹왕 랄프"
핑크팬더,"핑크 팬더"
태권V,"로보트 태권브이"
LOL 서프라이즈,"LOL Surprise,LOL서프라이즈,LOL미니스위츠"
리그오브레전드,"티모,아리,롤드컵,라이엇게임즈,롤,League of Legend,League of Legends,리그 오브 레전드, lol"
카카오프렌즈,"카카오,카카오 프렌즈,어피치,라이언"
라인프렌즈,"라인 프렌즈"
아이돌,"BT21"
게임,"PC게임,리그오브레전드,마인크래프트,슈퍼로봇대전,오버워치,파이널판타지,몬스터헌터,몬스터 헌터,워크래프트,TCG"
전대물,"슈퍼전대"
웹툰,"네이버웹툰"
피규어,"넨도로이드,넨도"
스티키몬스터랩,"스티키 몬스터 랩"
마이리틀포니,"마이 리틀 포니,마이리틀 포니,포니"
디즈니,"디즈니 프린세스,디즈니랜드,디즈니만화동산"
코난,"명탐정코난,명탐정 코난"
유미의세포들,"유미의 세포들"
반지의제왕,"반지의 제왕"
천사소녀네티,"천사소녀 네티"
마징가,"마징가 Z"
101마리달마시안,"101마리 달마시안"
에반게리온,"에반게리온 2호기"
패트와매트,"패트와 매트"
티몬과품바,"티몬과 품바"
진격의거인,"진격의 거인"
도쿄리벤져스,"도쿄 리벤져스"
에스더버니,"에스더 버니"
덤보,"아기코끼리덤보,아기코끼리 덤보"
케어베어,"치어베어,러브어랏베어,쉐어베어,위시베어,위시스베어"
위베어베어스,"위 베어 베어스,위베어 베어스"
라이온킹,"라이언킹"
치이카와,"먼작귀,먼가작고귀여운녀석"
귀멸의칼날,"귀멸의 칼날"
오버액션토끼,"오버 액션 토끼,오버액션 토끼"
코카콜라,"코카 콜라,콜라"
